###ÄNSI###
eur_ironflare;Ironflare;;;;;;;;;;;;;x
eur_ironflare_desc;The black sword of House Gurthang. A fell weapon with a deadly and dreadful reputation, the success in battle that seems to follow Ironflare's wielders is matched by a similar trend in misfortunate death. The supposed curse of the weapon is held to be responsible for the untimely downfalls of many within and without the Gurthang dynasty, including Queen Icel herself.;;;;;;;;;;;;;x
custom_norway;Norway;;;;;;;;;;;;;x
drift_1_desc;A Kingdom no longer shattered, the many peoples of [k_norway.GetName] have once more united under a powerful and charismatic lord who casted all other petty lords aside to proclaim the ancient lineage such a Kingdom holds in the imaginations of those who live in the region. Some within this new Kingdom have even begun calling upon their fellow countrymen to once more adopt the high culture of "[norwegian.GetName]", time will tell if this return will stand the test of time.;;;;;;;;;;;;;x
EVTOPTA_drift_1;Perhaps "[norwegian.GetName]" blood flows through my veins...;;;;;;;;;;;;;x
EVTOPTB_drift_1;I know [norwegian.GetName] blood flows through my veins...;;;;;;;;;;;;;x
custom_sweden;Sweden;;;;;;;;;;;;;x
drift_1_desc;A Kingdom no longer shattered, the many peoples of [k_sweden.GetName] have once more united under a powerful and charismatic lord who casted all other petty lords aside to proclaim the ancient lineage such a Kingdom holds in the imaginations of those who live in the region. Some within this new Kingdom have even begun calling upon their fellow countrymen to once more adopt the high culture of "[swedish.GetName]", time will tell if this return will stand the test of time.;;;;;;;;;;;;;x
EVTOPTA_drift_1;Perhaps "[swedish.GetName]" blood flows through my veins...;;;;;;;;;;;;;x
EVTOPTB_drift_1;I know [swedish.GetName] blood flows through my veins...;;;;;;;;;;;;;x

###JOIN THE KHALSA###
join_khalsa;Join the Khalsa;;;;;;;;;;;;;x
join_khalsa_desc;Become an Amridhari;;;;;;;;;;;;;x
EVTDESC_khalsa_amritdhari;Five Sikhs gather in a quiet place, and the ceremony begins. One of the five pyare explains the Khalsa Panth. You give your assent, chant a salutation, and holy water is sprinkled on the eyes. All present recite the Mool Mantra, and you are now a part of the Khalsa.;;;;;;;;;;;;;x
EVTOPT_khalsa_initiation;I am honored.;;;;;;;;;;;;;x

pilgrimage_to_the_takhts;Travel to the Akal Takht;;;;;;;;;;;;;x
