###ÄNSI
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###########Folketro Decision Localization###########

become_allfader;Become Allfader;;;;;;;;;x
become_allfader_desc;If powerful enough, a Ny Sed ruler may have the possibility to claim the religion for himself and bring the Ny Sed faith to a new era...;;;;;;;;;x
change_folketro_branch;Change Folketro Branch;Changer de branche Folketro;Folketro Zweig Ändern;Cambiar de ramia Folketro;;;;;;;;;x
change_folketro_branch_desc;You have the possibility to change your religious branch once in a lifetime;Vous avez la possibilité de changer de branche religieuse une fois dans votre vie; Sie haben die Möglichkeit ihren Zweig ein mal ins Leben zu ändern;Tienes la posibilidad de cambiar de rama religiosa una vez en la vida;;;;;;;;;x
folketro_confirmation;Prepare Confirmation;;;;;;;;;;;;;x
folketro_confirmation_named;Prepare Confirmation;;;;;;;;;;;;;x
folketro_confirmation_desc;As your child is soon of age you can choose to hold an extravagant confirmation for [Root.GetHerHim], inviting your vassals and the members of your court to witness [Root.GetHerHim] induction into the [Root.Religion.GetName] faith. This can help build trust that will certainly prove useful for the child in the future.;;;;;;;;;;;;;x
folketro_confirmation_custom_tooltip;Send out the invitations.;;;;;;;;;;;;;x


###########Folketro Title Localization###########

ALLSHERJARGODE;Allsherjargode;;;;;;;;;;;;;x
ALLFADER;Allfader;;;;;;;;;;;;;x
ALLMODER;Allmoder;;;;;;;;;;;;;x
ERKEBISKOP;Erkebiskop;;;;;;;;;;;;;x

###########Folketro Event Localization###########

troll_eventdesc1;As a member of the [lamb_cult.GetName], you have begun a dive into the legends of the Saints, uncovering a strange familiarity of these tales with the Christians of the South, perhaps you have more in common then you think...;;;;;;;;;;;;;x
troll_eventopt1;Christ was a great shepherd as much as he was a warrior...;;;;;;;;;;;;;x

troll_eventdesc2;As a member of the [hiddenfolk_cult.GetName], you have begun a dive into the legends of the Huntsmen, uncovering a strange familiarity of these tales with tales of other great and legendary warriors among the Stories of Other People...;;;;;;;;;;;;;x
troll_eventopt2;Was the Huntsmen the only great one on the battlefield of Ragnarok?;;;;;;;;;;;;;x

EVTNAME_allsherjargode_formed;The Folketro Faith United;;;;;;;;;;;;;x
EVTDESC_allsherjargode_formed;Ever since Ragnarok struck down the Old World, the Folketro faith has been but a scattered tapestry of local cults and practices. However, [d_folketro.Holder.GetBestName] has managed to secure key religious positions throughout Scandinavia and many of the greatest priests, skalds and lords have accepted the guiding wisdom of the newly created Allsherjargode. A priest of priests, the Allsherjargode and [d_folketro.Holder.GetHerHis] wise council who will be the final religious authority of all Folketro.;;;;;;;;;;;;;x
EVTOPTA_allsherjargode_formed;Praise [folketro.GetHighGodName]!;;;;;;;;;;;;;x
EVTOPTB_allsherjargode_formed;Interesting...;;;;;;;;;;;;;x
EVTOPTC_allsherjargode_formed;Blasted Heathens!;;;;;;;;;;;;;x

EVTNAME_nysed_reborn;The Allfader Arises;;;;;;;;;;;;;x
EVTDESC_nysed_reborn;Testing Testing Testing;;;;;;;;;;;;;x
EVTOPTA_nysed_reborn;Praise [nysed.GetHighGodName]!;;;;;;;;;;;;;x
EVTOPTB_nysed_reborn;Interesting...;;;;;;;;;;;;;x
EVTOPTC_nysed_reborn;Blasted Heathens!;;;;;;;;;;;;;x

TXT_change_folketro_branch;Choose the ancestors you wish to venerate!;;;;;;;;;;;;;x
EVTDESC_troll_5;The Folketro Faith has many figures that are worshipped to varying degrees by its most ardent believers. From the mysteries of the Hidden Folk to the reverance of the holy Apostles, your personal devotion to these spirits are paramount to being a devout Folketro adherence.;;;;;;;;;;;;;x
EVTOPTA_troll_5;In the spirit of God Almighty I shall heed the word of his Holy Apostles!;;;;;;;;;;;;;x
EVTOPTB_troll_5;Perhaps, I should look into [folketro.GetHighGodName] as to guard against Ragnarok...;;;;;;;;;;;;;x

temple_baron_nysed;Gode;;;;;;;;;;;;;x
temple_baron_nysed_female;Goda;;;;;;;;;;;;;x
temple_count_nysed;Gode;;;;;;;;;;;;;x
temple_count_nysed_female;Goda;;;;;;;;;;;;;x
temple_duke_nysed;Gode;;;;;;;;;;;;;x
temple_duke_nysed_demale;Goda;;;;;;;;;;;;;x
temple_king_nysed;Gode;;;;;;;;;;;;;x
temple_king_nysed_demale;Goda;;;;;;;;;;;;;x
temple_barony_of_nysed;Tempel of;;;;;;;;;x

temple_baron_fornsed;Pastor;;;;;;;;;;;;;x
temple_baron_fornsed_female;Pastor;;;;;;;;;;;;;x
temple_count_fornsed;Biskop;;;;;;;;;;;;;x
temple_count_fornsed_female;Biskop;;;;;;;;;;;;;x
temple_duke_fornsed;Erkebiskop;;;;;;;;;;;;;x
temple_duke_fornsed_demale;Erkebiskop;;;;;;;;;;;;;x
temple_barony_of_fornsed;Kirke of;;;;;;;;;x

temple_baron_folketro;Gode;;;;;;;;;;;;;x
temple_baron_folketro_female;Goda;;;;;;;;;;;;;x
temple_count_folketro;Gode;;;;;;;;;;;;;x
temple_count_folketro_female;Goda;;;;;;;;;;;;;x
temple_duke_folketro;Gode;;;;;;;;;;;;;x
temple_duke_folketro_demale;Goda;;;;;;;;;;;;;x
temple_barony_of_folketro;Tempel of;;;;;;;;;x

EVTDESC_confirmation_1;Your priest offers to help your son read and understand the Holy Scriptures, claiming that this is important before his planned confirmation. Tradition demands that you listen to him and allow him to teach your child the Bible.;;;;;;;;;;;;;x
EVTOPTA_confirmation_1;Let him do his duty;;;;;;;;;;;;;x
EVTOPTB_confirmation_1;I will teach my child myself;;;;;;;;;;;;;x
EVTOPTC_confirmation_1;The child will learn on his own;;;;;;;;;;;;;x
EVTDESC_confirmation_2;According to tradition, after the confirmation there is a reception for the guests - decide how much money you will spend on the ceremony related to celebrating the confirmation of your ward.;;;;;;;;;;;;;x
EVTOPTA_confirmation_2;Feast will be rich;;;;;;;;;;;;;x
EVTOPTB_confirmation_2;Modest feast is the best option;;;;;;;;;;;;;x
EVTOPTC_confirmation_2;I will give as much as necessary for the feast;;;;;;;;;;;;;x
EVTDESC_confirmation_3;Dear [ROOT.GetName], you are hereby solemnly invited to celebration of my ward's confirmation.;;;;;;;;;;;;;x
EVTOPTA_confirmation_3;By [ROOT.Religion.GetRandomGodName], I will make sure to attend!;;;;;;;;;;;;;x
EVTOPTB_confirmation_3;I do not have the time for such ridiculous celebrations.;;;;;;;;;;;;;x
EVTDESC_confirmation_4;[FROM.GetName] has refused my invitation to celebration of my ward's confirmation, what a disgrace!;;;;;;;;;;;;;x
EVTOPTA_confirmation_4;Curses!;;;;;;;;;;;;;x
EVTDESC_confirmation_5;All the guests have gathered – the rite of confirmation of [Root.GetHerHim] can now be performed soon. The priest has already prepared the holy oil and is waiting in the temple to anoint the confirmation candidate. But before he want to half-officiall examine candidate to confirmation from biblical issues.;;;;;;;;;;;;;x
EVTOPTA_confirmation_5;I hope it goes smoothly;;;;;;;;;;;;;x
EVTOPTB_confirmation_5;May the holy apostles help this candidate;;;;;;;;;;;;;x
EVTDESC_confirmation_6;The candidate answers the priest's questions with incredible skill. The priest is very pleased and praises the boy for his knowledge.;;;;;;;;;;;;;x
EVTOPTA_confirmation_6;Now confirmation can took place...;;;;;;;;;;;;;x
EVTDESC_confirmation_7;The candidate answers the priest's questions with some hesitation, but relatively correctly. The priest is satisfied, nods, and goes to prepare the rite.;;;;;;;;;;;;;x
EVTDESC_confirmation_8;The candidate answers the priest's questions, and it's clear he hasn't learned much. The priest is dissatisfied, but he sighs and goes to the temple to prepare the rite.;;;;;;;;;;;;;x
EVTOPTA_confirmation_8;Pathetic... but now confirmation can took place...;;;;;;;;;;;;;x
EVTNAME_confirmation_9;Confirmation;;;;;;;;;;;;;x
EVTDESC_confirmation_9;You enter the temple, and the confirmation candidate, [Root.GetHerHim], approaches, dressed in a white robe. The priest places his hands on the candidate's head and prays, asking for the gifts of wisdom, understanding, counsel, courage, piety, and knowledge. Afterward, he takes the holy oils and traces a sign on the candidate's forehead. Then he stands and announces that from this day forward, [Root.GetHerHim] is of age in the eyes of Heaven and is responsible for his sins with his soul. Everyone begins singing pious hymns. Soon, everyone leaves the temple, led by the newly confirmed, to celebrate his confirmation with a fine feast...;;;;;;;;;;;;;x
EVTOPTA_confirmation_9;Now it is time for feast;;;;;;;;;;;;;x
EVTDESC_confirmation_10;After leaving the temple, you go to a feast. There, for the rest of the day, you eat and drink to the health of the confirmed person, wishing them a light maturity and God's grace. When the feast ends, you say goodbye and go home.;;;;;;;;;;;;;x
EVTOPTA_confirmation_10;Finally, it's time to return to everyday life...;;;;;;;;;;;;;x
EVTOPTB_confirmation_10;Nice time;;;;;;;;;;;;;x
EVTTOOLTIP_troll_8;[ROOT.GetName] is invited.;;;;;;;;;;;;;x
