#Bastille Day Localisations
###ÄNSI###
celebrate_eleusinian_mysteries;Celebrate the Eleusinian Mysteries;;;;;;;;;;;;;x
celebrate_eleusinian_mysteries_desc;In ancient Hellas, before the Event, the Eleusinian Mysteries were held, mysterious rites held in the city of Eleusis in honor of the harvest goddess Demeter, her daughter Persephone, and the wine god Dionysus. These mysteries were held in great esteem and were shrouded in mystery—as remains to this day. Today, Neoplatonists continue to celebrate these mysteries, although the requirement that they take place in Eleusis is no longer as strictly observed.;;;;;;;;;;;;;x
read_philosoph;Read philosophical writings;;;;;;;;;;;;;x;
read_philosoph_desc;Philosophy is the greatest science, as one of Plato's students once said. Therefore, it falls to you, a Neoplatonist like you, to explore it to the fullest extent of your ability by reading the writings of Plato and his later followers and students.;;;;;;;;;;;;;x
change_neoplatonist_branch;Choose a deity;;;;;;;;;;;;;x
change_neoplatonist_branch_desc;Neoplatonists, in addition to following philosophy, also follow gods—they worship many deities, which they treat more or less metaphorically, depending on their philosophical background. As one of them, you can choose or change the deity you follow.;;;;;;;;;;;;;x
restore_byzantine_empire;Recreate the Byzantine Empire;;;;;;;;;;;;;x
restore_byzantine_empire_desc;Long ago, a powerful state existed in Greece and Anatolia, the Eastern Roman Empire—the Byzantine Empire—ruled by powerful emperors, successors to Rome in the East. In 1453, the last Emperor, Constantine XII, died defending New Rome from the onslaught of Turkish invaders. Today, if you possess even the foundations of the former Eastern Roman Empire, you can restore it and become its monarch.;;;;;;;;;;;;;x
EVTDESC_greek_1;Many gods are worshiped by Plato's disciples. Since you are also his disciple, you can also choose a deity to be your patron.;;;;;;;;;;;;;x
EVTOPTA_greek_1;Zeus, the supreme lord of Olympus;;;;;;;;;;;;;x
EVTOPTB_greek_1;Hera, Queen of Olympus;;;;;;;;;;;;;x
EVTOPTC_greek_1;Hermes, god of travelers, merchants and thieves;;;;;;;;;;;;;x
EVTOPTA_greek_2;Apollo, god of beauty and art;;;;;;;;;;;;;x
EVTOPTB_greek_2;Hephaestus, the underground god of blacksmiths;;;;;;;;;;;;;x
EVTOPTC_greek_2;Hades, lord of the underworld;;;;;;;;;;;;;x
EVTOPTA_greek_3;Demeter, goddess of harvest;;;;;;;;;;;;;x
EVTOPTB_greek_3;Dionysus, god of wine and theater;;;;;;;;;;;;;x
EVTOPTC_greek_3;Agnostos Theos;;;;;;;;;;;;;x
EVTOPTA_greek_4;Athena, goddess of wisdom and protector of Athens;;;;;;;;;;;;;x
EVTOPTB_greek_4;Artemis, goddess of the hunt;;;;;;;;;;;;;x
EVTOPTD_greek_1;I will look on other gods...;;;;;;;;;;;;;x
neoplatonist_zeus;Zeus;;;;;;;;;;;;;x
neoplatonist_hera;Hera;;;;;;;;;;;;;x
neoplatonist_hermes;Hermes;;;;;;;;;;;;;x
neoplatonist_apollo;Apollo;;;;;;;;;;;;;x
neoplatonist_hephaestus;Hephaestus;;;;;;;;;;;;;x
neoplatonist_hades;Hades;;;;;;;;;;;;;x
neoplatonist_demeter;Demeter;;;;;;;;;;;;;x
neoplatonist_dionysus;Dionysus;;;;;;;;;;;;;x
neoplatonist_unknown_god;Agnostos Theos;;;;;;;;;;;;;x
neoplatonist_athena;Athena;;;;;;;;;;;;;x
neoplatonist_artemis;Artemis;;;;;;;;;;;;;x
neoplatonist_zeus_desc;This character worships Zeus - the son of Kronos and Rhea and king of Olympus, ruler of all gods and men and the personification of the supreme principle governing the Universe.;;;;;;;;;;;;;x
neoplatonist_hera_desc;This character worships Hera - the wife of Zeus and the goddess of heaven, motherhood and fertility;;;;;;;;;;;;;x
neoplatonist_hermes_desc;This character worships Hermes, son of Zeus and Maia - god of roads, travelers, merchants, shepherds, thieves, messenger of the gods and psychopomp;;;;;;;;;;;;;x
neoplatonist_apollo_desc;This character worships  Apollo, son of Zeus and Leto - the god of beauty, light, life, music, art and poetry.;;;;;;;;;;;;;x
neoplatonist_hephaestus_desc;This character worships Hephaestus, son of Zeus and Hera - the god of fire, blacksmiths and goldsmiths.;;;;;;;;;;;;;x
neoplatonist_hades_desc;This character worships Hades, brother of Zeus and Hera, son of Kronos and Rhea - lord of the underworld and father of Thanatos - god of death.;;;;;;;;;;;;;x
neoplatonist_demeter_desc;This character worships Demeter, daughter of Kronas and Rhea and mother of Persephone. She is the goddess of fertility, the earth and harvest, arable land, grain, and agriculture.;;;;;;;;;;;;;x
neoplatonist_dionysus_desc;This character worships Dionysus, son of Zeus - god of theater and wine.;;;;;;;;;;;;;x
neoplatonist_unknown_god_desc;This character worships Agnostos Theos - the Existing One, spawned by no other, they are prayed to for a fair judgement, rebirth, and a chance to repent.;;;;;;;;;;;;;x
neoplatonist_athena_desc;This character worships Athena, daughter of Zeus - goddess of wisdom, arts, just war and protector of Athens.;;;;;;;;;;;;;x
neoplatonist_artemis_desc;This character worships Artemisia, daughter of Zeus - goddess of hunting, animals, forests, mountains, the moon and vegetation;;;;;;;;;;;;;x
EVTDESC_greek_6;Every Neoplatonist knows that philosophy is the key to all other sciences and to knowledge of things beyond human beings. There were many philosophers in Hellas' history, and you must choose whose work you will read.;;;;;;;;;;;;;x
EVTOPTA_greek_6;I will read some of Plato's works;;;;;;;;;;;;;x
EVTOPTB_greek_6;Plotinus's work will be good.;;;;;;;;;;;;;x
EVTOPTC_greek_6;Maybe something from newer works...;;;;;;;;;;;;;x
EVTOPTD_greek_6;Maybe something Christian, Pseudo-Dionysius the Areopagite...;;;;;;;;;;;;;x
reading_neoplaton_success;Reading brings good results...;;;;;;;;;;;;;x
reading_neoplaton_normal;Reading brings decent results...;;;;;;;;;;;;;x
reading_neoplaton_fail;Reading is ineffective and a waste of time...;;;;;;;;;;;;;x
EVTDESC_greek_7;He was reading a philosophical work, and the further you read it, the more you understand it. When you put it aside, you feel that the reading has benefited your soul and mind.;;;;;;;;;;;;;x
EVTDESC_greek_8;You read a philosophical work, and despite the difficulties, you manage to grasp its content and finish it. When you put it aside, you feel that, although there are still some things you don't understand, you have benefited from reading it.;;;;;;;;;;;;;x
EVTDESC_greek_9;He was reading a philosophical work, and although it initially seems understandable, the further you read, the less you understand. By the time you finish it, you feel like you've wasted your time and that you could just as easily have drunk wine and gained just as much knowledge.;;;;;;;;;;;;;x
EVTOPTA_greek_7;Nice;;;;;;;;;;;;;x;
EVTOPTA_greek_9;Horrible time;;;;;;;;;;;;;x
EVTDESC_greek_10;Work of Pseudo-Dionysius the Areopagite fills you with the strange feeling that what he experienced wasn't just his subjective impression, but that what he believed was truly true. It leads you to ponder the meaning of life and the essence of God, and to question the multiplicity of gods.;;;;;;;;;;;;;x
EVTOPTA_greek_10;Maybe Christians are right...;;;;;;;;;;;;;x
EVTOPTB_greek_10;Nonsense;;;;;;;;;;;;;x
EVTDESC_greek_11;The Eleusinian Mysteries are a major religious event formerly held in Eleusis, near Athens. They are held in honor of the goddess Demeter and her daughter Persephone, and the god Dionysus. As the organizer of this year's Mysteries, you order preparations for them.;;;;;;;;;;;;;x
EVTOPTA_greek_11;Time to prepare;;;;;;;;;;;;;x
EVTNAME_greek_12;Eleusinian Mysteries: First Day;;;;;;;;;;;;;x
EVTDESC_greek_12;Today begins the Eleusinian Mysteries – the priests announce this in the morning before the temples. The entire population soon gathers in one city, and chants in honor of Demeter begin. One young man, chosen by the priests from among the people, recites a traditional song in honor of Demeter, praising her for the fertile soil of Hellas. Then the people, and you with them, march to the nearest waters with a suckling pig for sacrifice. There, everyone bathes in water, and the priests clean the suckling pig, simultaneously singing of their desire to offer the best sacrifice to the goddess of fertility. Afterward, you return to the city, where the priest sacrifices the suckling pig on the altar, praying to Demeter for a bountiful harvest. Afterward, you return to your room, knowing that this is only the beginning of the mysteries.;;;;;;;;;;;;;x
EVTOPTA_greek_12;It is beggining only...;;;;;;;;;;;;;x
EVTNAME_greek_13;Eleusinian Mysteries: Second Day;;;;;;;;;;;;;x
EVTDESC_greek_13;Fasting begins on the second day of the Mysteries. By order of the priests, all meat that cannot be preserved during the fast is ritually burned in the marketplace in honor of Demeter. You spend the entire day in the temple, singing hymns to Demeter and Persephone, and watching theater performances depicting various myths, not just those related to the goddess worshiped in the Mysteries. After a full day of fasting, you return hungry and enjoy a simple meal before bed.;;;;;;;;;;;;;x
EVTOPTA_greek_13;I'm terribly hungry...;;;;;;;;;;;;;x
EVTOPTB_greek_13;It's dark, Demeter won't see me eating more....;;;;;;;;;;;;;x
EVTNAME_greek_14;Eleusinian Mysteries: Third Day;;;;;;;;;;;;;x
EVTDESC_greek_14;The second and final day of fasting begins. Animal and material sacrifices are still being made in the marketplace and temples, and in the streets, choirs sing songs to women about Demeter and Persephone. You, on the other hand, continue to fast, although the next day the priests no longer frown upon eating two modest meals before evening. The day ends with the announcement of the fourth day, when the fast ends, and festivities and a grand feast begin in the marketplace, during which tables are said to be groaning with food. According to some priests, it's a good omen if one of the tables fails to support the weight of the food and is destroyed.;;;;;;;;;;;;;x
EVTOPTA_greek_14;Nice;;;;;;;;;;;;;x
EVTNAME_greek_15;Eleusinian Mysteries: Fourth Day;;;;;;;;;;;;;x
EVTDESC_greek_15;The fourth day of the mysteries begins – large tables are set in the market square, and you, as ruler of this land, take your place of honor around the priests. The people rejoice and feast with such vigor that servants quickly have to bring more food and drink to keep the table from emptying. A chorus of women, considered a gathering of the best local singers, sings a solemn song of joy about the meeting of Demeter and Persephone. Soon, the feast has dragged on for several hours. You return home, stuffed, feeling that eating anything more would make you vomit – a stark contrast to the previous two days.;;;;;;;;;;;;;x
EVTOPTA_greek_15;What tommorow?;;;;;;;;;;;;;x
EVTNAME_greek_16;Eleusinian Mysteries: Fifth Day;;;;;;;;;;;;;x
EVTDESC_greek_16;In the morning, the priests announce a grand procession to the local sanctuary. Many people gather for the procession, and you, as ruler of these lands, lead the procession, followed closely by the priests. During the pilgrimage, many sing joyful hymns to Demeter and Persephone, giving thanks for last year's harvest and praying for a good harvest this summer. After some time, you leave the city and arrive at the sanctuary walls. There, you pitch your tents, and the priests offer offerings on the temple steps. According to custom, tomorrow will be the culmination of the mysteries. During this time, the procession members sleep in tents in front of the sanctuary, while the priests pray inside, preparing the sanctuary for the next day.;;;;;;;;;;;;;x
EVTOPTA_greek_16;What tommorow?;;;;;;;;;;;;;x
EVTNAME_greek_17;Eleusinian Mysteries: Sixth Day;;;;;;;;;;;;;x
EVTDESC_greek_17;In the morning, the priests awaken the people camping outside the temple, including you. They joyfully announce the news, sad for many, that this is the last day of the mystery. The priests begin to sing a song of thanksgiving about a mother's love and the joy of having their lost daughter back. The people camping outside the sanctuary gather their tents and follow you inside. After a while, you gather inside; the hall miraculously accommodates you. Actors hired by the priests perform a play about Hades' abduction of Persephone, Demeter's search for her, the mother's determination of her daughter's fate, and the daughter's reunion after winter. After the play, the actors receive a fee from you and the priests, after which the priests hand out cups filled with a strange-looking and smelling liquid and order you to drink it.;;;;;;;;;;;;;x
EVTOPTA_greek_17;I drink it;;;;;;;;;;;;;x
EVTOPTB_greek_17;I refuse loudly;;;;;;;;;;;;;x
EVTOPTC_greek_17;I imitate drinking;;;;;;;;;;;;;x
EVTNAME_greek_18;Eleusinian Scandal;;;;;;;;;;;;;x
EVTDESC_greek_18;You refuse to drink the liquid offered to you and ostentatiously pour it out. This causes shock on the faces of everyone gathered. The priests are outraged and ask, "You're telling me you don't intend to look at the gods after drinking this liquid," claiming that why would the gods make their arrival contingent on drinking something? The indignant priest orders you to leave, which you do, leaving the shocked people behind.;;;;;;;;;;;;;x
EVTOPTA_greek_18;Goodbye folks;;;;;;;;;;;;;x
EVTNAME_greek_19;Eleusian Lie;;;;;;;;;;;;;x
EVTDESC_greek_19;You pretend to drink it, but the liquid ends up somewhere other than your body. After a moment, you see other people begin to howl in ecstasy and shout something incomprehensible. You stare at it, bewildered. The priests are shouting praises to the divine Demeter and her daughter. The man next to you is in a state of extreme euphoria, shouting that he sees his daughter next to Demeter. You are shocked by it all. After a while, when the people emerge from their ecstasy, the priest recites the ritual formula and makes the final animal sacrifice. You leave the sanctuary in a state of severe shock.;;;;;;;;;;;;;x
EVTOPTA_greek_19;Opium for the people;;;;;;;;;;;;;x
EVTNAME_greek_20;Vision;;;;;;;;;;;;;x
