#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
EVTNAMEjane_event.1;After Funeral;;;;;;;;;;;x
EVTDESCjane_event.1;Earlier this year, your sons were still with you, and you could support them. Now they both lie buried in the church founded by the Howards, and during every Sunday mass, you see their tombstones. As your mourning continues, you realize that your husband granting you Suffolk in the event of the premature deaths of your sons makes no difference — it only shows how worthless material possessions truly are. This morning, as you rise and head toward your sons' chamber, you’re halfway there when you remember they are no longer with you. Then your maid approaches and informs you that workers, during renovation works in one of the castle’s wings, have discovered a book written by Saint Thomas More, the holy martyr beheaded by the cruel King Henry VIII — a book about lands whose knowledge was lost many years ago.;;;;;;;;;;;x
EVTOPTAjane_event.1;I’ll gladly read it;;;;;;;;;;;x
EVTOPTBjane_event.1;I’ll donate the book to the local monastery;;;;;;;;;;;x
EVTNAMEjane_event.2;Utopia;;;;;;;;;;;x
EVTDESCjane_event.2;You open the book and read — you learn that in the 16th century, when ancestors were discovering lands now once again unknown, one of the sailors came upon an island called Utopia, whose political system reminds you of what you sometimes hear from Scandinavian merchants about the lands of the former Russian Empire. Be that as it may, as you read these revelations, a thought strikes you — perhaps you too could discover Utopia, if it ever truly existed. That thought begins to sprout within you, and it’s up to you whether you cut it down or let the tree of this idea grow.;;;;;;;;;;;x
EVTOPTAjane_event.2;That’s a good idea;;;;;;;;;;;x
EVTOPTBjane_event.2;I can’t afford to travel;;;;;;;;;;;x
EVTNAMEjane_event.3;Departure;;;;;;;;;;;x
EVTDESCjane_event.3;When you decided to embark on the expedition, you knew there was no turning back. A day after making your decision, you informed your stewards and entrusted one of them with the management of Suffolk. You took money from the hidden deposits of your late husband and used it to fund a fleet capable of traveling great distances. Supposedly, when your former brother-in-law — Lord Howard — heard about your plans, he laughed out loud, but you no longer care. As the final preparations are completed, you set sail from Suffolk and watch the land drift farther and farther away.;;;;;;;;;;;x
EVTOPTAjane_event.3;I hope I won’t regret this;;;;;;;;;;;x
EVTNAMEjane_event.4;Lisbon;;;;;;;;;;;x
EVTDESCjane_event.4;You arrive in Lisbon — here your fleet must stop to resupply. As they do, you speak with the local merchants. According to them, the route to the New Land is difficult, and they know of no one who has managed to cross it. Yet you are undeterred — you will not turn back now, not after having already set off, for that would only bring ridicule from the English nobility. After replenishing supplies and purchasing medicine for sea sickness, you set sail once again, bidding farewell to Lisbon and praying that you may see it once more.;;;;;;;;;;;x
EVTOPTAjane_event.4;Perhaps I will see it again;;;;;;;;;;;x
EVTNAMEjane_event.5;The Azores;;;;;;;;;;;x
EVTDESCjane_event.5;You arrive at the Azores — this is the final stop, and the next will likely be the American mainland, where London once held possessions but lost them. The ministers of Glorian claim that the local population was incited by a demon called Washington, who promised easy riches to convince the Americans to rebel and plunder the Queen’s estates in Canada. However, since you are not a Glorian but a Catholic, you know this is all nonsense and lies. On the Azores, you hear of Brazil — a land further south of the Queen’s former holdings. A local pirate suggests that you should sail not westward, but more toward the south.;;;;;;;;;;;x
EVTOPTAjane_event.5;I sail west — surely Utopia lies there;;;;;;;;;;;x
EVTOPTBjane_event.5;I sail south;;;;;;;;;;;x
EVTNAMEjane_event.6;Heart of Brazil;;;;;;;;;;;x
EVTDESCjane_event.6;After many days at sea, you arrive in Rio de Janeiro — the capital of the Brazilian Empire. Merchants from ships you encountered along the way told you much about this city, but now you see that their words didn’t even convey half of what you feel. The city is beautiful, the sky is clear, and you see nothing vile or ugly. It seems to you that this is what cities must have looked like before the Event. As you reach the port and disembark, several soldiers approach, salute you, and ask who you are. After you explain your mission and where you come from, their commander — somewhat surprised — informs you that the Emperor will likely want to grant you an audience within a few days. Your crew — English, Scottish, Welsh, a few Portuguese, and pirates from the Azores — is now resting, while you try to grasp at least the outline of the world the Brazilians live in.;;;;;;;;;;;x
EVTOPTAjane_event.6;At last, I can rest;;;;;;;;;;;x
EVTNAMEjane_event.7;Audience with the Emperor;;;;;;;;;;;x
EVTDESCjane_event.7;As you enter, you see the Emperor upon his throne. “Behold Pedro, the Fifth of his name, of the House of Bragança, Emperor of Brazil, Protector of Guiana, etc., etc. He welcomes you into his home,” proclaims a servant, reciting the formal diplomatic formula. As a cultured person, you bow before the Emperor, and you move on to the matters at hand. The Emperor seems intrigued by you — you tell him of Britain, of the events in France and Portugal. A scribe records everything. After this lengthy conversation, which feels as if it spanned years, the Emperor appears pleased and asks that you remain longer in Brazil. He offers you a deal: you stay in Brazil for three years with your sailors, help the Emperor create a map of Europe with all its kingdoms, compile for him the basics of your language’s grammar, and write an account of the most important wars in Europe since the Event. In return, he will give you as much gold as your ships can carry.;;;;;;;;;;;x
EVTOPTAjane_event.7;Forgive me, Your Majesty, but I miss my siblings;;;;;;;;;;;x
EVTOPTBjane_event.7;Of course, Your Majesty — I will help you with your plans;;;;;;;;;;;x
EVTNAMEjane_event.8;Work Completed;;;;;;;;;;;x
EVTDESCjane_event.8;After three long years of painstaking effort, you and your subordinates succeeded in creating everything the Emperor had asked for. Today, you handed over the series of volumes compiled with the help of your confessor and other companions, describing the wars in Europe from the time of the Event to recent years, the grammar of your language, and other matters requested by His Imperial Majesty. The Emperor is pleased, and soon you receive vast quantities of gold and provisions, with which you fill your cargo holds. Once your fleet is ready, you depart from Rio de Janeiro, knowing that you will likely never return to this city.;;;;;;;;;;;x
EVTOPTAjane_event.8;I will never forget this city;;;;;;;;;;;x
EVTNAMEjane_event.9;Farewell to Rio de Janeiro;;;;;;;;;;;x
EVTDESCjane_event.9;The Emperor is not pleased with your response — clearly, he is not used to refusals. Nevertheless, he does not have you hanged or anything of the sort. Still, fearing his wrath, you do not stay in Rio de Janeiro long. After purchasing a map of the Empire, which clearly shows that Utopia no longer exists (if it ever did), you board your ship and set sail for Europe, praying that the Emperor does not change his mind and send ships after you to drag you to the bottom of the sea.;;;;;;;;;;;x
EVTOPTAjane_event.9;Hope dies last...;;;;;;;;;;;x
EVTNAMEjane_event.10;Bermuda;;;;;;;;;;;x
EVTDESCjane_event.10;After many days at sea, you arrive in Bermuda — a place you imagined quite differently, once a British possession. In the port, you see a multitude of shady characters. From local merchants, you learn more — after the Event, there are two states that claim to continue the legacy of pre-Event nations: the Mexican Empire and the Holy Columbian Confederacy. The merchants tell you a lot about these countries, though their stories often contradict each other — some say the Mexicans are Christians, others claim they are pagans. Regarding the Holy Columbian Confederacy, some say it continues the legacy of the American Empire before the Event, while others, from more northern regions, claim it follows the traditions of a rebellion that once rose up against Lincoln before the Event.;;;;;;;;;;;x
EVTOPTAjane_event.10;We sail to the Holy Columbian Confederacy;;;;;;;;;;;x
EVTOPTBjane_event.10;We sail to Mexico;;;;;;;;;;;x
EVTNAMEjane_event.11;Veracruz;;;;;;;;;;;x
EVTDESCjane_event.11;You arrive in Veracruz — a city you've never known. As you step ashore, you see a curious sight: a city battered by fate, yet still retaining some of the old splendor as part of an Empire that, according to its leaders, traces its roots back to the times before the Event. Observing the people, you notice many wear medallions — some look natural to you, while others are shocking. On one hand, you are moved by a passing procession carrying an image of the Blessed Virgin Mary; on the other, you are disturbed to see some people dressed as skeletons. Soon, the city’s governor approaches you and, after questioning your origins, is surprised and asks how he can help. You tell him you came seeking Utopia — a republican state that existed before the Event — which only causes the governor’s guards to burst out laughing. The governor scolds them and says the city will take care of your fleet, and that you should travel under city guard to the capital of the Empire and speak to the Emperor ab;;;;;;;;;;;x
EVTOPTAjane_event.11;Very well;;;;;;;;;;;x
EVTNAMEjane_event.12;On the road to Mexico;;;;;;;;;;;x
EVTDESCjane_event.12;As you travel toward the great city, said to be a thousand years old, you pass many villages. Your confessor is disturbed by some of the practices of the Empire’s inhabitants — strange masks, talk of the holy death, and more. Halfway along the road, you encounter three riders. The soldiers escorting you want to drive them off, but you wish to speak with them. The knights, upon learning who you are, are surprised but willingly answer your questions. They say they serve the Prelate of Mexico and do not hold much loyalty to the Emperor, whom they view as idolatrous and pagan. After the conversation, you promise to pray for them and continue your journey, passing through more villages.;;;;;;;;;;;x
EVTOPTAjane_event.12;Okay;;;;;;;;;;;x
EVTNAMEjane_event.13;Mexico;;;;;;;;;;;x
EVTDESCjane_event.13;You arrive in Mexico City — a beautiful place, though clearly past its golden age. One of the soldiers tells you that the Mexican Empire was once much larger, and now controls only fragments of its former lands. As you cross the gates, you see the poor staring at you with curiosity. Your confessor tells you legends of Mexican saints he heard of in seminary — of Our Lady of Guadalupe, of the Cristeros who fought against a tyrant ruler, and of many other heroes of the faith, of which only remnants remain in the capital. After passing through the slums, you reach the vicinity of the imperial palace, where you are greeted by the heir to the throne, who offers rooms for you and your entourage. You accept and ask the prince for a place where your chaplain could say Mass for you and your people. He agrees and offers an old chapel that hasn’t been used in a long time.;;;;;;;;;;;x
EVTOPTAjane_event.13;I feel I could be at peace here;;;;;;;;;;;x
EVTNAMEjane_event.14;Audience with the Emperor;;;;;;;;;;;x
EVTDESCjane_event.14;After a few days of waiting, you are received by the Emperor of Mexico himself — Wenceslao III. He immediately begins asking questions about Europe, the fate of England, and other matters. He seems genuinely curious and eager to learn. Once you finish telling him about England and the current affairs, he asks you about the purpose of your journey. You tell him of Utopia — an island supposedly discovered by the Portuguese in the 16th century before the Event — and that you’re curious whether it still exists. The Emperor smiles and tells you Utopia is a fairy tale for children and that your journey was in vain. This saddens you slightly, though it doesn’t diminish the satisfaction of being somewhere no English noble has set foot for centuries. The audience lasts an hour, and as a farewell, the Emperor gives you a book written in Latin, saying it will surely interest you. You thank him, and the audience ends.;;;;;;;;;;;x
EVTOPTAjane_event.14;Then it's time to slowly return to Veracruz;;;;;;;;;;;x
EVTNAMEjane_event.15;Farewell to Mexico;;;;;;;;;;;x
